Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,181.34,124.28,107.61,93.98,76.0,0.0,165.02,135.74,110.77,95.08,79.05,0.0,152.96,139.84,112.69,98.85,82.84,0.0,267.14,117.19,103.01,84.31,0.0,0.0,177.83,126.92,109.68,92.96,69.32,0.0,290.92,197.98,48.03,23.55,0.0,0.0,0.0,462.34,148.5,0.0,0.0,0.0,0.0,0.0,260.97,249.77,46.43,10.58,0.0,0.0,0.0,288.04,240.33,37.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,170.21,130.15,111.16,96.28,0.0,0.0,247.86,118.55,104.61,91.42,0.0,0.0,254.94,117.58,103.03,85.94,0.0,0.0,145.62,144.19,113.44,100.17,83.48,0.0,159.39,136.53,112.18,96.85,82.1,0.0,249.77,249.77,0.0,0.0,0.0,0.0,0.0,306.17,167.18,105.03,0.0,0.0,0.0,0.0,290.92,184.27,13.78,10.0,0.0,0.0,0.0,290.92,167.18,167.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,185.04,126.41,100.69,0.0,0.0,0.0,161.44,130.0,102.45,111.71,0.0,0.0,140.54,133.87,108.61,84.77,0.0,0.0,564.94,0.0,0.0,0.0,0.0,0.0,140.8,133.44,109.65,82.57,0.0,0.0,410.33,31.93,0.0,0.0,0.0,0.0,0.0,208.19,208.19,7.92,0.0,0.0,0.0,0.0,264.42,157.69,0.0,0.0,0.0,0.0,0.0,410.33,53.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,139.33,135.59,107.63,92.53,0.0,0.0,142.15,131.2,114.95,80.0,0.0,0.0,165.81,126.62,101.23,63.11,0.0,0.0,258.26,116.76,94.61,0.0,0.0,0.0,222.7,125.75,99.83,0.0,0.0,0.0,410.33,33.75,31.0,25.75,0.0,0.0,0.0,330.89,122.23,30.0,6.17,0.0,0.0,0.0,232.27,165.69,98.53,0.0,0.0,0.0,0.0,208.19,198.08,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,185.41,116.44,97.82,80.0,0.0,0.0,194.04,113.66,91.84,88.46,0.0,0.0,195.41,107.67,92.3,88.63,0.0,0.0,125.87,121.94,99.26,90.85,74.73,0.0,138.21,116.46,99.0,88.82,0.0,0.0,342.99,0.0,0.0,0.0,0.0,0.0,0.0,276.79,0.0,0.0,0.0,0.0,0.0,0.0,213.15,32.35,16.33,0.0,0.0,0.0,0.0,135.17,81.27,30.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,211.94,132.62,97.98,82.43,0.0,0.0,341.11,104.02,78.45,0.0,0.0,0.0,159.57,148.71,122.51,84.19,117.9,0.0,185.15,134.28,108.47,89.95,0.0,0.0,172.51,137.55,118.05,88.57,112.11,0.0,383.78,171.21,47.58,0.0,0.0,0.0,0.0,307.13,191.94,81.7,0.0,0.0,0.0,0.0,383.78,177.3,31.08,0.0,0.0,0.0,0.0,383.78,179.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,155.71,153.32,120.22,84.93,0.0,0.0,238.61,130.24,96.54,0.0,0.0,0.0,193.95,133.15,106.12,82.43,0.0,0.0,168.92,140.92,118.53,88.06,0.0,0.0,245.1,125.49,95.92,0.0,0.0,0.0,236.24,236.24,151.73,0.0,0.0,0.0,0.0,296.33,191.94,104.13,12.4,0.0,0.0,0.0,336.79,191.94,48.22,38.8,0.0,0.0,0.0,250.39,236.24,139.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,172.41,110.53,93.92,70.34,0.0,0.0,274.64,94.62,85.63,0.0,0.0,0.0,123.89,122.73,106.27,92.41,0.0,0.0,162.2,111.38,96.53,78.23,0.0,0.0,193.17,109.11,93.88,68.85,0.0,0.0,241.05,58.13,48.02,0.0,0.0,0.0,0.0,232.1,130.87,0.0,0.0,0.0,0.0,0.0,241.05,60.1,23.22,22.75,0.0,0.0,0.0,345.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,634.8,0.0,0.0,0.0,0.0,0.0,212.98,108.78,92.72,64.94,0.0,0.0,162.64,110.87,101.17,74.55,0.0,0.0,135.99,117.13,103.98,87.45,50.0,0.0,133.23,119.18,106.26,87.2,97.02,0.0,147.35,146.73,24.87,33.75,0.0,0.0,0.0,232.1,135.17,0.0,0.0,0.0,0.0,0.0,241.05,59.0,33.75,29.98,0.0,0.0,0.0,232.1,66.67,24.03,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
