Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,1,1,2,3,3,2,2,17,0,18,17,3,3,21,1,2,18,19,3,20,4,3,20,3,18,2,18,19,20,18,20,2,3,17,2,2,34,1,1,0,17,0,17,0,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,2,2,3,19,2,20,5,4,4,42,4,2,19,38,19,3,19,0,0,20,40,5,6,7,5,4,4,37,35,18,17,15,17,14,32,0,0,15,36,16,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,2,3,3,3,3,4,23,24,23,6,5,3,53,21,35,2,3,22,21,5,6,22,3,16,18,33,1,21,36,3,2,19,0,17,0,53,0,0,0,0,55,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,2,2,2,2,3,2,2,36,3,2,1,17,19,1,1,35,1,2,2,18,2,6,5,22,7,23,2,3,71,19,2,18,19,1,1,19,18,0,0,16,18,17,17,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,1,1,2,1,2,19,2,18,2,16,2,3,18,2,4,21,3,4,39,3,3,35,2,18,18,1,19,3,20,3,4,4,21,3,17,19,0,17,18,16,36,17,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,3,5,20,3,19,20,2,22,23,23,5,5,4,38,20,21,37,19,3,23,20,4,4,20,1,18,17,33,0,17,17,0,0,0,32,17,0,0,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,1,1,1,1,2,18,2,3,2,2,19,2,18,1,21,3,3,21,4,2,2,38,21,21,3,19,2,36,0,1,18,18,1,1,0,0,0,34,16,18,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,3,2,3,19,3,19,2,21,4,4,22,5,19,5,23,23,39,6,4,21,39,37,2,3,19,20,20,21,2,2,1,36,0,18,35,17,0,17,52,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,2,2,2,1,2,19,2,19,2,2,1,18,3,19,3,4,21,21,4,38,2,18,0,35,2,20,3,3,21,1,0,1,35,19,1,1,0,0,0,33,0,33,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,3,3,4,5,4,2,21,38,3,22,22,4,3,17,3,17,22,21,5,37,5,5,36,19,2,20,38,3,21,22,3,3,2,35,0,17,17,16,0,0,38,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,1,2,2,4,4,4,20,5,20,3,52,4,20,2,36,4,20,3,4,37,3,20,21,19,2,2,35,20,3,22,20,2,1,0,17,18,32,0,0,18,0,16,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,2,2,1,2,20,2,19,3,2,2,21,3,21,5,4,21,23,5,22,21,18,17,2,54,24,5,6,4,1,18,17,50,1,17,18,0,16,0,16,17,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,1,2,3,4,4,4,19,3,18,19,23,5,24,20,4,4,37,3,56,4,20,6,6,38,5,23,20,4,36,40,20,2,1,35,17,16,0,17,0,0,36,35,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,2,2,2,2,3,20,3,20,4,3,18,19,2,17,18,3,21,4,4,19,2,1,19,35,20,19,3,2,2,2,19,17,19,1,0,0,17,18,0,17,18,51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,2,3,4,5,22,4,22,21,22,21,21,2,19,18,2,20,23,4,4,19,19,1,19,21,37,4,3,1,2,18,34,1,19,34,0,0,18,0,0,19,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
