Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,3,4,17,9,11,10,3,1,16,2,9,1,20,8,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,5,11,18,12,19,5,12,19,20,18,12,10,19,19,4,15,19,8,0,37,7,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,3,4,13,18,9,15,3,3,11,2,16,10,2,8,8,7,8,6,14,15,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,4,12,10,11,17,11,9,20,4,11,21,17,2,11,2,7,8,20,0,0,20,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,5,19,17,12,10,12,13,19,20,10,18,21,10,10,24,10,22,13,14,0,14,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,3,10,8,7,2,2,2,8,8,2,10,2,7,15,0,0,0,6,14,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,6,8,24,34,6,21,6,25,32,4,19,11,12,18,10,15,13,8,7,7,22,7,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,4,4,10,23,2,3,9,9,10,7,15,0,7,0,7,7,16,6,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,4,10,12,19,17,12,19,11,12,16,19,19,18,4,32,4,0,28,0,7,8,20,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,4,11,19,12,5,20,12,19,25,12,12,11,18,9,16,8,14,8,14,14,13,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,4,5,10,21,7,2,4,5,12,11,22,15,0,7,7,7,14,13,7,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,4,18,25,12,11,15,5,31,11,18,11,13,19,12,9,15,21,8,7,14,21,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,5,6,17,24,10,3,4,11,11,9,23,1,8,0,6,13,8,19,0,6,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,3,10,4,17,3,17,9,12,17,11,3,15,8,9,10,9,1,15,22,0,0,14,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,4,12,6,28,11,18,3,20,12,21,21,18,17,18,12,11,7,14,13,6,15,14,6,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,3,9,9,15,1,1,8,2,1,8,0,7,1,1,0,13,0,7,7,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,12,17,11,4,11,4,29,12,11,20,26,5,2,32,8,7,7,15,0,29,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,2,3,3,16,7,0,8,2,3,3,9,8,16,0,0,8,0,8,0,7,7,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,2,11,4,14,15,11,11,17,4,10,30,5,4,22,8,15,8,21,6,7,0,7,6,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,5,5,18,23,3,4,12,13,12,27,13,12,24,10,12,19,2,21,14,8,15,23,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,6,6,11,35,1,4,4,4,8,25,9,9,8,7,8,15,7,7,0,7,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,5,11,10,23,5,14,7,12,41,9,9,19,10,12,11,17,8,14,6,7,36,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,2,4,4,15,23,9,4,4,12,17,9,15,8,9,1,6,13,8,16,0,15,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,3,5,11,19,13,12,13,19,18,3,23,16,4,18,10,8,21,7,0,7,7,14,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,3,5,12,18,16,3,11,20,4,16,18,11,10,9,7,14,7,7,7,15,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,3,9,2,15,1,8,1,9,1,1,8,8,0,6,0,0,8,0,7,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,6,12,19,18,11,4,11,17,9,12,17,11,2,25,2,8,7,7,8,14,7,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,2,8,8,8,1,1,1,8,1,1,8,1,0,7,0,7,0,7,7,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,10,3,5,11,19,17,4,18,13,4,18,17,17,4,11,10,8,15,19,0,6,27,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,9,5,10,17,18,14,5,19,22,10,11,11,13,13,31,2,22,8,0,14,24,21,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,2,8,7,7,1,2,2,8,7,6,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,4,11,11,21,6,13,17,25,12,6,25,10,18,18,12,9,14,8,14,15,6,15,7,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,3,4,10,17,10,10,3,10,11,10,12,18,10,9,8,0,14,6,6,19,7,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,3,10,10,10,9,2,11,11,6,26,10,11,19,11,1,22,7,7,0,8,29,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,4,11,23,5,6,12,19,24,12,11,11,16,10,11,17,1,14,14,20,0,14,7,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,4,4,15,14,2,5,5,12,29,11,9,1,14,7,0,14,13,7,7,0,0,0,0,0,0,0,0,0,0
