Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5
48,120.5,308.79,103.73,0.0,0.0,0.0,70.39,123.19,176.67,130.39,44.0,0.0,80.97,127.92,160.12,131.57,60.0,0.0,85.02,134.88,153.76,129.01,0.0,0.0,111.0,239.08,131.62,75.97,0.0,0.0,214.98,363.23,0.0,0.0,206.6,366.32,0.0,0.0,203.41,419.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,111.97,261.93,135.37,92.38,0.0,0.0,109.53,211.79,138.17,93.8,0.0,0.0,106.4,187.31,138.93,109.31,0.0,0.0,105.23,186.68,141.11,98.0,85.6,0.0,100.73,171.74,148.65,117.27,44.0,0.0,128.9,108.9,0.0,0.0,147.8,57.57,0.0,0.0,158.18,49.07,0.0,0.0,102.23,0.0,0.0,0.0,0.0
50,85.88,136.92,198.36,114.7,81.81,0.0,87.28,141.85,161.92,135.1,86.68,0.0,78.52,125.47,278.87,93.49,0.0,0.0,81.78,133.23,206.08,125.6,0.0,0.0,95.42,149.5,156.48,134.85,78.66,0.0,385.14,0.0,0.0,0.0,277.71,0.0,0.0,0.0,138.2,75.93,0.0,0.0,184.98,0.0,0.0,0.0,0.0
51,90.41,169.9,127.61,118.73,97.0,0.0,89.26,164.61,193.62,106.39,80.25,0.0,97.16,190.06,121.11,115.26,91.09,0.0,92.95,185.06,123.63,115.51,92.04,0.0,82.44,149.31,236.23,101.26,0.0,0.0,0.0,0.0,0.0,0.0,180.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03,72.8,153.88,0.0,0.0
52,62.0,114.92,223.32,92.42,0.0,0.0,63.82,117.94,222.75,85.73,0.0,0.0,72.0,120.05,174.63,122.36,0.0,0.0,72.16,121.37,172.07,123.17,0.0,0.0,73.44,127.87,165.8,120.2,61.64,0.0,258.49,141.27,0.0,0.0,228.57,166.11,0.0,0.0,189.47,229.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,89.85,166.34,130.45,101.44,0.0,0.0,82.25,149.13,151.23,116.17,0.0,0.0,81.28,139.66,155.03,119.43,0.0,0.0,78.27,134.5,156.24,119.89,0.0,0.0,92.49,176.57,124.43,96.25,0.0,0.0,266.54,0.0,0.0,0.0,634.8,0.0,0.0,0.0,373.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,108.2,149.36,106.72,0.0,0.0,0.0,113.68,147.91,101.27,0.0,0.0,0.0,101.08,195.25,96.04,0.0,0.0,0.0,104.6,180.66,98.37,0.0,0.0,0.0,91.92,175.37,100.94,0.0,0.0,0.0,159.97,330.66,0.0,0.0,159.73,352.16,0.0,0.0,519.43,0.0,0.0,0.0,206.58,0.0,0.0,0.0,0.0
55,76.83,132.57,137.02,86.51,0.0,0.0,72.82,122.11,142.57,95.24,0.0,0.0,82.0,147.65,111.49,58.0,0.0,0.0,80.39,137.92,120.75,86.29,0.0,0.0,88.97,164.01,107.54,0.0,0.0,0.0,164.97,279.04,82.57,0.0,198.08,255.74,0.0,0.0,146.95,361.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,94.14,188.12,148.37,0.0,0.0,0.0,100.7,190.71,110.07,89.3,0.0,0.0,102.86,219.87,102.27,0.0,0.0,0.0,107.37,176.39,138.37,82.66,0.0,0.0,85.04,159.71,156.47,98.01,0.0,0.0,142.7,210.16,192.08,0.0,133.5,326.07,0.0,0.0,115.23,332.6,0.0,0.0,264.9,0.0,0.0,0.0,0.0
57,85.09,163.76,113.4,0.0,0.0,0.0,84.01,151.3,113.88,0.0,0.0,0.0,82.0,147.29,115.51,98.53,0.0,0.0,79.9,135.02,121.12,75.81,0.0,0.0,76.0,130.09,123.86,92.88,0.0,0.0,276.96,81.03,0.0,0.0,433.96,0.0,0.0,0.0,358.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,111.65,169.18,102.4,0.0,0.0,0.0,114.36,161.19,108.78,0.0,0.0,0.0,101.53,213.38,94.88,0.0,0.0,0.0,107.22,342.14,0.0,0.0,0.0,0.0,68.0,119.45,125.57,102.14,0.0,0.0,167.47,246.94,0.0,0.0,159.9,315.5,0.0,0.0,256.99,141.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,78.32,135.02,127.32,85.47,0.0,0.0,84.48,152.63,114.23,77.17,0.0,0.0,83.77,150.62,116.65,82.87,0.0,0.0,81.35,145.95,118.54,84.37,0.0,0.0,84.98,153.37,113.03,72.38,85.84,0.0,170.42,138.8,0.0,0.0,200.96,67.8,42.9,0.0,331.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,96.0,188.82,100.31,0.0,0.0,0.0,101.19,212.7,92.92,0.0,0.0,0.0,107.13,232.38,90.08,0.0,0.0,0.0,110.71,191.72,93.05,0.0,0.0,0.0,114.04,162.34,101.73,72.15,0.0,0.0,145.13,143.86,0.0,0.0,138.6,309.68,0.0,0.0,132.5,329.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
